,partition_id,url,industry,company,title,description,employment_type,salary_min,salary_max,salary_currency,city,region,postal_code,position_levels,work_schedules,work_modes,technologies_os,technologies_optional,requirements_expected,we_offer,benefits,date_posted,valid_through,mapped_industry,kw_industry,mapped_languages,monthly_max_salary
count,65401,65401,65399,65399,65399,65399,65399,23979.0,21934.0,65399,64324,65399,28792,65395,63706,65389,6256,2815,65396,61419,65399,65399,65399,64453,64453,19001,22293.0
unique,65401,65401,6266,18461,32523,43746,84,,,3,2605,17,4823,22,7,12,2985,1336,44191,35303,13732,47992,78,15,216,156,
top,"%23azstaz-w-digital-marketing-team-f-m-warszawa-krakowiakow-48,oferta,1004641095","https://www.pracuj.pl/praca/%23azstaz-w-digital-marketing-team-f-m-warszawa-krakowiakow-48,oferta,1004641095","Obsługa klienta, Sprzedaż, Sprzedawcy, Sieci handlowe",Sii Sp. z o.o.,Przedstawiciel handlowy / Przedstawicielka handlowa,"budowanie silnej, profesjonalnej reputacji marki na rynku, aktywne pozyskiwanie nowych konsumentów, przekazywanie informacji marketingowych i sprzedaż produktów z portfolio BAT (podgrzewacze, e-papierosy, saszetki nikotynowe) w zaplanowanych przez koordynatora miejscach (eventy / punkty sprzedaży detalicznej)",employment contract,,,PLN,Warszawa,mazowieckie,80-309,"[""specialist""]","[""full-time""]","[""full office work""]","[""SQL""]","[""Python""]","pełnoletność, dostępność minimum 15 razy w miesiącu, każdorazowo przez 4-5 godzin (w tym weekendy, a także popołudnia i wieczory), energiczność oraz łatwość nawiązywania kontaktów z innymi ludźmi, status studenta, doświadczenie w sprzedaży (jeśli go nie masz, bez obaw - wszystkiego Cię nauczymy), czynne prawo jazdy kategorii B oraz własny samochód","What we offer, Great Place to Work since 2015 - it’s thanks to feedback from our workers that we get this special title and constantly implement new ideas, Employment stability - revenue of PLN 2.1BN, no debts, since 2006 on the market, We share the profit with Workers - over PLN 76M has already been allocated for this aim since 2022, Attractive benefits package - private healthcare, benefits cafeteria platform, car discounts and more, Comfortable workplace – class A offices or remote work, Dozens of fascinating projects for prestigious brands from all over the world – you can change them thanks to Job Changer application, PLN 1 000 000 per year for your ideas - with this amount, we support the passions and voluntary actions of our workers, Investment in your growth – meetups, webinars, training platform and technology blog – you choose, Fantastic atmosphere created by all Sii Power People",,2026-02-06T23:00:00Z,2026-02-18T22:59:59Z,IT & Digital Tech,seo,"[""English""]",
freq,1,1,1026,1537,459,314,39412,,,65244,12467,17106,230,24259,57400,35383,114,36,312,1002,20907,238,3459,12081,7920,15647,
mean,,,,,,,,6098.171735268359,10650.174034375854,,,,,,,,,,,,,,,,,,13033.091905530886
std,,,,,,,,4824.807632634961,10759.07568682064,,,,,,,,,,,,,,,,,,13336.82133394275
min,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,160.0
25%,,,,,,,,4600.0,6000.0,,,,,,,,,,,,,,,,,,6800.0
50%,,,,,,,,5750.0,8500.0,,,,,,,,,,,,,,,,,,9500.0
75%,,,,,,,,8000.0,12500.0,,,,,,,,,,,,,,,,,,14200.0
max,,,,,,,,142545.89,210866.71,,,,,,,,,,,,,,,,,,210866.71
