,partition_id,url,industry,company,title,description,employment_type,salary_min,salary_max,salary_currency,city,region,postal_code,position_levels,work_schedules,work_modes,technologies_os,technologies_optional,requirements_expected,we_offer,benefits,date_posted,valid_through,monthly_max_salary,mapped_industry,kw_industry,mapped_languages
count,62782,62782,62781,62781,62781,62781,62781,23145.0,20776.0,62781,61683,62781,28019,62776,61142,62773,5882,2694,62779,58631,62781,62781,62781,21326.0,61956,61956,17877
unique,62782,62782,6114,18671,31263,42456,87,,,3,2793,17,4849,38,7,12,2796,1334,42950,34256,13086,46300,65,,16,565,133
top,"%23azstaz-w-dziale-rozwoju-biznesu-i-sprzedazy-f-m-warszawa-krakowiakow-48,oferta,1004761284","https://www.pracuj.pl/praca/%23azstaz-w-dziale-rozwoju-biznesu-i-sprzedazy-f-m-warszawa-krakowiakow-48,oferta,1004761284","Obsługa klienta, Sprzedaż, Sprzedawcy, Sieci handlowe",Sii Sp. z o.o.,Przedstawiciel handlowy / Przedstawicielka handlowa,"Mistrz/Mistrzyni smaku: Przygotowywanie pysznych produktów., Ambasador/Ambasadorka gościnności: Kompletowanie i serwowanie zamówień., Strażnik/Strażniczka jakości: Pielęgnacja sprzętu i utrzymanie krystalicznej czystości przy Twoim stanowisku pracy.",employment contract,,,PLN,Warszawa,mazowieckie,80-309,"[""specjalista / specjalistka (mid / regular)""]","[""full-time""]","[""full office work""]","[""SQL""]","[""SQL""]","Twoja energia i chęć do nauki., Współpraca jako klucz do sukcesu., Pozytywne nastawienie i dużo uśmiechu.","What we offer, Great Place to Work since 2015 - it’s thanks to feedback from our workers that we get this special title and constantly implement new ideas, Employment stability - revenue of PLN 2.1BN, no debts, since 2006 on the market, We share the profit with Workers - over PLN 76M has already been allocated for this aim since 2022, Attractive benefits package - private healthcare, benefits cafeteria platform, car discounts and more, Comfortable workplace – class A offices or remote work, Dozens of fascinating projects for prestigious brands from all over the world – you can change them thanks to Job Changer application, PLN 1 000 000 per year for your ideas - with this amount, we support the passions and voluntary actions of our workers, Investment in your growth – meetups, webinars, training platform and technology blog – you choose, Fantastic atmosphere created by all Sii Power People",,2026-03-27T23:00:00Z,2026-05-13T21:59:59Z,,Engineering & Design,sales,"[""English""]"
freq,1,1,975,1658,328,192,36860,,,62584,11868,16652,244,19877,54343,34884,121,32,192,1155,21354,341,3300,,10916,3712,14543
mean,,,,,,,,5957.620303305251,10305.0589945129,,,,,,,,,,,,,,,12788.200631623371,,,
std,,,,,,,,4751.420525891263,10084.907713271481,,,,,,,,,,,,,,,12781.246717124506,,,
min,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,160.0,,,
25%,,,,,,,,3978.0,5900.0,,,,,,,,,,,,,,,6500.0,,,
50%,,,,,,,,5600.0,8300.0,,,,,,,,,,,,,,,9000.0,,,
75%,,,,,,,,7650.0,12500.0,,,,,,,,,,,,,,,14222.5,,,
max,,,,,,,,90000.0,300000.0,,,,,,,,,,,,,,,300000.0,,,
