title,mapped_title
Database SME,Database SME
Data Engineer,Data Engineer
ML Engineer,ML Engineer
Data Analyst,Data Analyst
Data Scientist,Data Scientist
Data Architect,Data Architect
Business Analyst,Business Analyst
Machine learning Engineer,ML Engineer
Data Specialist,Data Specialist
Data Manag,Data Management
Database Engineer,Database Engineer
Data Manager,Data Management
Analityk Biznesow,Business Analyst
Analityk danych,Data Analyst
Analityczka danych,Data Analyst
Inżynier danych,Data Engineer
Inżynierka danych,Data Engineer
AI Analyst,AI Analyst
AI Developer,AI Developer
AI Engineer,AI Engineer
AI Coach,AI Coach
Programistka baz danych,Database SME
Programista baz danych,Database SME
Cloud engineer,Cloud engineer
Software Engineer,Software Engineer
Cloud architect,Cloud architect
Inżynier Machine Learning,ML Engineer
Analityczka Biznesow,Business Analyst
Inżynierka Machine Learning,ML Engineer
