date,mapped_industry,job_count
2026-03,Construction & Real Estate,1693
2026-03,Customer Service & Admin,1827
2026-03,Education & Science,712
2026-03,Engineering & Design,11358
2026-03,Finance & Banking,9310
2026-03,General Labor,5171
2026-03,HR & Recruitment,1232
2026-03,Hospitality & Gastronomy,1124
2026-03,IT & Digital Tech,9240
2026-03,Legal & Compliance,881
2026-03,Logistics & Supply Chain,4913
2026-03,Marketing & Creative,1373
2026-03,Medicine & Pharma,4210
2026-03,Retail & Front Office,799
2026-03,Skilled Trades,3171
2026-03,Technical Sales & B2B,7416
2026-04,Construction & Real Estate,1586
2026-04,Customer Service & Admin,1562
2026-04,Education & Science,532
2026-04,Engineering & Design,10754
2026-04,Finance & Banking,8404
2026-04,General Labor,5727
2026-04,HR & Recruitment,1143
2026-04,Hospitality & Gastronomy,1397
2026-04,IT & Digital Tech,8584
2026-04,Legal & Compliance,832
2026-04,Logistics & Supply Chain,5061
2026-04,Marketing & Creative,1268
2026-04,Medicine & Pharma,3844
2026-04,Retail & Front Office,868
2026-04,Skilled Trades,3080
2026-04,Technical Sales & B2B,6931
2026-05,Construction & Real Estate,1611
2026-05,Customer Service & Admin,1744
2026-05,Education & Science,773
2026-05,Engineering & Design,11112
2026-05,Finance & Banking,8982
2026-05,General Labor,6374
2026-05,HR & Recruitment,1090
2026-05,Hospitality & Gastronomy,1565
2026-05,IT & Digital Tech,8866
2026-05,Legal & Compliance,818
2026-05,Logistics & Supply Chain,5567
2026-05,Marketing & Creative,1281
2026-05,Medicine & Pharma,3980
2026-05,Retail & Front Office,1010
2026-05,Skilled Trades,3230
2026-05,Technical Sales & B2B,7533
2026-06,Construction & Real Estate,1392
2026-06,Customer Service & Admin,1558
2026-06,Education & Science,798
2026-06,Engineering & Design,10683
2026-06,Finance & Banking,8074
2026-06,General Labor,6047
2026-06,HR & Recruitment,1147
2026-06,Hospitality & Gastronomy,1487
2026-06,IT & Digital Tech,8348
2026-06,Legal & Compliance,953
2026-06,Logistics & Supply Chain,5779
2026-06,Marketing & Creative,1122
2026-06,Medicine & Pharma,3755
2026-06,Retail & Front Office,910
2026-06,Skilled Trades,3026
2026-06,Technical Sales & B2B,6983
2026-07,Construction & Real Estate,1399
2026-07,Customer Service & Admin,1395
2026-07,Education & Science,781
2026-07,Engineering & Design,9626
2026-07,Finance & Banking,7390
2026-07,General Labor,5453
2026-07,HR & Recruitment,982
2026-07,Hospitality & Gastronomy,1282
2026-07,IT & Digital Tech,7055
2026-07,Legal & Compliance,762
2026-07,Logistics & Supply Chain,5286
2026-07,Marketing & Creative,1013
2026-07,Medicine & Pharma,3552
2026-07,Retail & Front Office,806
2026-07,Skilled Trades,2813
2026-07,Technical Sales & B2B,6565
