title,mapped_industry,position_level
#AżStaż w Digital Marketing Team (f/m),Technical Sales & B2B,"[""trainee""]"
#AżStaż w UX Team (f/m),IT & Digital Tech,"[""trainee""]"
#program stażowy - Doradca Serwisu - Volkswagen Sosnowiec,Engineering & Design,"[""trainee""]"
Комерційний директор / Commercial Director CCO,Finance & Banking,"[""director""]"
Особа для виконання завдань на виробництві косметики / Osoba do realizacji zleceń przy produkcji kosmetyków,Marketing & Creative,"[""manual worker""]"
Помощник электромонтёра,Engineering & Design,"[""assistant""]"
Працівник до магазину Жабка,Marketing & Creative,"[""manual worker""]"
Працівник складу,Logistics & Supply Chain,"[""manual worker""]"
Працівник продукції - Pracownik produkcyjny,Marketing & Creative,"[""manual worker""]"
Работник склада/работница склада,Marketing & Creative,"[""manual worker""]"
Специалист по управлению арендной недвижимостью,Technical Sales & B2B,"[""specialist""]"
Специалист/Специалистка по обслуживании клиента с русским языком,Technical Sales & B2B,"[""junior specialist"", ""specialist""]"
Спеціаліст з кадрового обліку (HR / Kadry),HR & Recruitment,"[""specialist""]"
Фінансовий директор (CFO),Finance & Banking,"[""director""]"
оператор виробництва / операторка виробництва,Marketing & Creative,"[""manual worker""]"
работник производства / работница производства,Marketing & Creative,"[""manual worker""]"
работник продукции / работница продукции,Marketing & Creative,"[""manual worker""]"
1. Programista / Programistka CNC Lasera i Prasy krawędziowe - Technolog,Engineering & Design,"[""senior specialist""]"
1st Line Technical Support (French),IT & Digital Tech,"[""junior specialist""]"
2 stanowiska ds. koordynacji i rozliczeń w Referacie Obsługi Finansowej Inwestycji Miasta w Wydziale Inwestycji Miasta Urzędu Miasta Bydgoszczy,Finance & Banking,"[""specialist""]"
2 stanowiska ds. nadzoru inwestorskiego nad realizacją inwestycji Miasta w Referacie Obsługi Technicznej Inwestycji Miasta w Wydziale Inwestycji Miasta UMB -branża konstrukcyjno-budowlana,IT & Digital Tech,"[""senior specialist""]"
3D Artist - Generalist/Character Creator,IT & Digital Tech,"[""specialist""]"
3D CAD Designer with Turkish,IT & Digital Tech,"[""junior specialist""]"
3D Generalist,IT & Digital Tech,"[""specialist""]"
3D Metrology Specialist – Quality Assurance Manager,IT & Digital Tech,"[""specialist""]"
5G RAN Test Automation Engineer,IT & Digital Tech,"[""specialist""]"
Accelerator and Incubator Partnerships Manager - GCP,IT & Digital Tech,"[""manager""]"
Account Director,Marketing & Creative,"[""manager"", ""team manager""]"
Account Executive (B2B – SaaS / IT) m/f/d,IT & Digital Tech,"[""specialist"", ""senior specialist""]"
"Account Executive (dokumenty, faktury)",Technical Sales & B2B,"[""specialist""]"
Account Executive (f/m),Technical Sales & B2B,"[""specialist""]"
Account Executive,Marketing & Creative,"[""specialist"", ""senior specialist""]"
Account Executive,Technical Sales & B2B,"[""junior specialist"", ""specialist""]"
Account Executive,IT & Digital Tech,"[""specialist""]"
Account Executive,Technical Sales & B2B,"[""specialist""]"
Account Management Specialist,IT & Digital Tech,"[""specialist""]"
Account Manager / Account Managerka,IT & Digital Tech,"[""team manager""]"
Account Manager - Agencja reklamowa,Technical Sales & B2B,"[""specialist""]"
