ngram,count
specjalista specjalistka,2655
sprzeda źy,1749
m odszy,1381
obs ugi,1060
m n,942
m x,824
kierownik kierowniczka,822
m odszy specjalista,800
odszy specjalista,800
dzia u,769
m odsza,716
bran źa,580
f m,567
asystent asystentka,552
jako ci,533
ugi klienta,500
obs ugi klienta,500
pracownik pracowniczka,464
utrzymania ruchu,461
m f,445
przedstawiciel handlowy,437
m odsza specjalistka,428
odsza specjalistka,428
starszy specjalista,407
rob łt,399
specjalista m,382
doradca doradczyni,361
odszy specjalista m,358
specjalista m odsza,356
system łw,354
specjalistka sprzeda źy,336
specjalistka sprzeda,336
ksi gowa,317
koordynator koordynatorka,315
ksi gowy,310
łw m,309
specjalista specjalistka sprzeda,303
specjalistka specjalista,300
projekt łw,291
operator operatorka,281
zespo u,279
zakup łw,278
urz dze,277
account manager,277
m d,267
doradca klienta,262
project manager,261
zarz dzania,258
j zykiem,256
pracownik pracowniczka restauracji,248
pracowniczka restauracji,248
with german,247
specjalistka obs ugi,242
specjalistka obs,242
specjalista sprzeda źy,238
specjalista sprzeda,238
key account,236
zast pca,236
nieruchomo ci,236
g łwny,234
f m x,234
doradczyni klienta,231
manager m,230
źynier źynierka,229
ksi gowo,220
samochod łw,218
f d,215
m f d,214
bran źy,214
operator maszyn,214
klient łw,208
starsza specjalistka,207
key account manager,202
pracownik produkcji,201
ruchu m,199
doradca doradczyni klienta,197
źynier budowy,197
produkcji m,197
p ac,196
specjalista specjalistka obs,193
restauracji kfc,193
ci m,192
utrzymania ruchu m,189
pracowniczka restauracji kfc,189
przedstawicielka handlowa,189
gowo ci,189
ksi gowo ci,189
e commerce,188
software engineer,185
specjalista obs,184
specjalista obs ugi,182
c e,180
mened źer,179
wid owego,167
łzka wid,166
łzka wid owego,166
osoba stanowisko,166
specialist with,162
specjalista starsza specjalistka,161
specjalista starsza,161
proces łw,158
g łwna,156
zam łwie,155
customer service,155
handlowy przedstawicielka,152
kadr p,151
kadr p ac,151
ekspert ekspertka,149
handlowy przedstawicielka handlowa,148
mi dzynarodowy,148
źy m,148
przedstawiciel handlowy przedstawicielka,147
starszy specjalista starsza,145
sprzeda źy m,143
sprzedawca sprzedawczyni,141
projektant projektantka,140
kierownik rob,136
kierownik rob łt,136
operator łzka,135
zykiem niemieckim,130
j zykiem niemieckim,130
specjalista tka,128
sta źysta,128
konsultant konsultantka,126
team leader,126
wsparcia sprzeda,126
wsparcia sprzeda źy,125
produkt łw,125
business development,124
sta ź,123
manager managerka,123
operator łzka wid,119
f m d,118
g łwny specjalista,117
łwny specjalista,117
lider liderka,116
ń ń,116
klienta m,116
kat c,116
technik techniczka,115
product manager,115
zarz du,114
kontroli jako,113
specialist m,113
