partition_id,url,industry,company,title,kw_title,description,employment_type,salary_min,salary_max,salary_currency,city,region,postal_code,position_levels,work_schedules,work_modes,technologies_os,technologies_optional,requirements_expected,we_offer,benefits,date_posted,valid_through,mapped_industry,kw_industry,mapped_languages
"after-sales-data-management-clerk-f-m-poznan-wierzbiecice-1c,oferta,1004627771","https://www.pracuj.pl/praca/after-sales-data-management-clerk-f-m-poznan-wierzbiecice-1c,oferta,1004627771","Obsługa klienta, Inżynieria / Technika / Produkcja",PHOENIX CONTACT WIELKOPOLSKA Sp. z o.o.,After Sales Data Management Clerk (f/m),Data Management,"Przeprowadzanie obsługi administracyjnej zwrotów technicznych po sprzedaży i zapewnienie płynnego procesu, Zapewnienie satysfakcji klienta przy jednoczesnym przestrzeganiu zasad i standardów jakości firmy, Rejestrowanie i utrzymywanie danych w systemach wewnętrznych, Tworzenie raportów i analiz dla potrzeb zarządzania posprzedażowego",employment contract,,,PLN,Poznań,wielkopolskie,61-569,"[""junior specialist"", ""specialist""]","[""full-time""]","[""full office work"", ""hybrid work""]",,,"Bardzo dobra znajomość  aplikacji MS Office, zwłaszcza Excela, Komunikatywna znajomość języka niemieckiego (znajomość języka angielskiego będzie dodatkowym atutem), Znajomość SAP, Ogólne doświadczenie w procesach obsługi klienta, after-sales, Ustrukturyzowany i zorientowany na rozwiązania sposób pracy","To oferujemy, Pracę pełną wyzwań w innowacyjnym zakładzie produkcyjnym, Stabilną pracę w międzynarodowej organizacji, Udział w ciekawych projektach, Możliwości rozwoju i szeroka oferta szkoleniowa m.in. dofinansowanie kursów językowych, Prywatna opieka medyczna, Karta multisport, Pożyczki mieszkaniowe i kasa zapomogowo-pożyczkowa, Nagroda roczna, Elastyczny czas pracy i możliwość pracy zdalnej, Dofinansowanie do dojazdów do pracy powyżej 30 km od PxCW, Premia za polecenie pracownika","nagroda roczna, dofinansowanie zajęć sportowych, prywatna opieka medyczna, dofinansowanie nauki języków, dofinansowanie szkoleń i kursów, ubezpieczenie na życie, możliwość pracy zdalnej, elastyczny czas pracy, spotkania integracyjne, preferencyjne pożyczki, parking dla pracowników, dodatkowe świadczenia socjalne, karty przedpłacone, dofinansowanie wypoczynku, pakiet relokacyjny, dofinansowanie wakacji dzieci, wyprawka dla dziecka, wyprawka szkolna, paczki świąteczne, dofinansowanie dojazdów do pracy, program rekomendacji pracowników, możliwość uzyskania uprawnień, inicjatywy dobroczynne, pikniki rodzinne, dodatkowy urlop",2026-02-05T10:35:28.277Z,2026-03-07T22:59:59Z,Engineering & Design,engineering,"[""German"", ""English""]"
"ai-analyst-krakow,oferta,1004580835","https://www.pracuj.pl/praca/ai-analyst-krakow,oferta,1004580835","IT-Administration, IT software development, Administration of systems, Business analysis, Project management",Cyclad,AI Analyst,AI Analyst,"Analyze business processes and map them using BPMN or equivalent methodologies, Work with data, including SQL and basic data exploration, to support AI solution design, Collaborate with stakeholders to gather requirements and translate them into actionable AI use cases, Design, document, and deliver AI solutions using platforms such as Azure OpenAI, Cognitive Services, or ML Studio, Create clear documentation, including user stories, requirements, and data flows, Contribute to continuous improvement of team practices and AI solution delivery",B2B contract,140,160,PLN,Kraków,małopolskie,,"[""specialist""]","[""full-time""]","[""hybrid work""]","[""BPMN"", ""SQL"", ""e.g."", ""Azure OpenAI"", ""Cognitive Services"", ""ML Studio""]",,"Strong understanding of AI and ML concepts (classification, NLP, predictive models), Experience in analyzing and mapping business processes (BPMN or equivalent), Hands-on experience with data: SQL and basic data exploration, Experience with AI platforms (e.g., Azure OpenAI, Cognitive Services, ML Studio), Ability to create documentation: user stories, requirements, data flows, Experience in conducting meetings with stakeholders and gathering requirements, Business-oriented mindset: ability to align AI solutions with real business problems, Strong logical thinking, independence, and ability to synthesize complex data, Experience working remotely and in distributed teams, Very good English and Polish skills","What we offer, Hybrid working model, Full-time job agreement based on b2b and employment contract, Private medical care with dental care (covering 70% of costs) + rehabilitation package. Family package option possible, Multisport card (also for an accompanying person), Life insurance","sharing the costs of sports activities, private medical care, sharing the costs of professional training & courses, life insurance, remote work opportunities, flexible working time, dental care, extra social benefits",2026-01-14T10:49:08.31Z,2026-02-13T22:59:59Z,IT & Digital Tech,"programming, testing",
"ai-analyst-warszawa,oferta,1004580834","https://www.pracuj.pl/praca/ai-analyst-warszawa,oferta,1004580834","IT-Administration, IT software development, Administration of systems, Business analysis, Project management",Cyclad,AI Analyst,AI Analyst,"Analyze business processes and map them using BPMN or equivalent methodologies, Work with data, including SQL and basic data exploration, to support AI solution design, Collaborate with stakeholders to gather requirements and translate them into actionable AI use cases, Design, document, and deliver AI solutions using platforms such as Azure OpenAI, Cognitive Services, or ML Studio, Create clear documentation, including user stories, requirements, and data flows, Contribute to continuous improvement of team practices and AI solution delivery",B2B contract,140,160,PLN,Warszawa,mazowieckie,,"[""specialist""]","[""full-time""]","[""hybrid work""]","[""BPMN"", ""SQL"", ""e.g."", ""Azure OpenAI"", ""Cognitive Services"", ""ML Studio""]",,"Strong understanding of AI and ML concepts (classification, NLP, predictive models), Experience in analyzing and mapping business processes (BPMN or equivalent), Hands-on experience with data: SQL and basic data exploration, Experience with AI platforms (e.g., Azure OpenAI, Cognitive Services, ML Studio), Ability to create documentation: user stories, requirements, data flows, Experience in conducting meetings with stakeholders and gathering requirements, Business-oriented mindset: ability to align AI solutions with real business problems, Strong logical thinking, independence, and ability to synthesize complex data, Experience working remotely and in distributed teams, Very good English and Polish skills","What we offer, Hybrid working model, Full-time job agreement based on b2b and employment contract, Private medical care with dental care (covering 70% of costs) + rehabilitation package. Family package option possible, Multisport card (also for an accompanying person), Life insurance","sharing the costs of sports activities, private medical care, sharing the costs of professional training & courses, life insurance, remote work opportunities, flexible working time, dental care, extra social benefits",2026-01-14T10:49:08.31Z,2026-02-13T22:59:59Z,IT & Digital Tech,"programming, testing",
"ai-automation-engineer-torun-grudziadzka-46-48,oferta,1004628428","https://www.pracuj.pl/praca/ai-automation-engineer-torun-grudziadzka-46-48,oferta,1004628428","IT-Administration, IT software development, Administration of databases and storage, Administration of systems, Architecture",ECIT NORIAN Sp. z o.o.,AI Automation Engineer,AI Engineer,"Design and build AI agents that:, • orchestrate complex tasks and workflows,, • call external systems and services,, • apply business rules, context and decision logic,, • are observable, cost-efficient and production-ready., , Turn real operational and business problems into working, reliable automation., , Actively analyse, challenge and refine requirements to ensure the right problems are being solved., , Communicate effectively with both technical and non-technical stakeholders., , Propose and implement the best possible solution, not just the first or most obvious one., , Build end-to-end solutions, not just isolated components or prototypes., , Implement practical AI patterns such as:, • prompt orchestration,, • tool / function calling,, • system integrations., , Ensure solutions are maintainable, extensible and safe to run in production.",employment contract,,,PLN,Toruń,kujawsko-pomorskie,87-100,"[""specialist""]","[""full-time""]","[""home office work"", ""hybrid work""]",,,"Hands-on engineering background with experience building production systems, Proven problem-solving mindset – able to break down ambiguous problems and design effective solutions, Experience working closely with business users and technical teams, Ability to understand, question and improve requirements, not just implement them, Practical experience with AI-based automation or agent-like architectures, Comfortable owning solutions from idea to production, Strong focus on reliability, maintainability and operational trust, Experience with RPA, workflow engines or process automation platforms, Familiarity with cost monitoring and observability for AI systems, Experience deploying AI solutions in regulated or operationally sensitive environments, Exposure to cloud platforms and modern integration patterns",,"sharing the costs of sports activities, private medical care, sharing the costs of foreign language classes, sharing the costs of professional training & courses, remote work opportunities, flexible working time, fruits, integration events, corporate sports team, no dress code, coffee / tea, extra social benefits, holiday funds, christmas gifts, employee referral program, opportunity to obtain permits and licenses, charity initiatives",2026-02-05T13:15:48.12Z,2026-03-07T22:59:59Z,IT & Digital Tech,"programming, testing",
"ai-coach-analityk-warszawa,oferta,1004634944","https://www.pracuj.pl/praca/ai-coach-analityk-warszawa,oferta,1004634944","IT - Rozwój oprogramowania, Analiza biznesowa i systemowa, Zarządzanie projektem/produktem",NESS SOLUTION sp. z o.o.,AI Coach - Analityk,AI Coach,"Edukacja i mentoring: Wprowadzenie zespołów w praktyczne, Prowadzenie szkoleń, warsztatów i konsultacji dla analityków i zespołów developerskich, Wsparcie analityków/ Pproduct owenrówOwenów w korzystaniu z narzędzi typu GH Copilot Chat oraz M365, Copilot z uwzględnieniem dopasowania konkretnego modelu do zadania, Pomoc analitykom w budowaniu efektywnych „promptów”, Tworzenie wewnętrznej bazy dobrych praktyk w zakresie wykorzystania AI, Monitorowanie nowości w świecie AI, Porównanie rozwiązań (GH Copilot Chat oraz M365 Copilot vs alternatywy) i rekomendacje na podstawie  jakości, kosztu, ryzyk i zgodności., Definicja i pomiar KPI/OKR oraz ROI (produktywność, jakość, koszty), raportowanie wyników do interesariuszy IT., Prowadzenie wdrożeń AI w SDLC: analiza potrzeb, konfiguracja, standardy użycia, governance, skalowanie.",B2B contract,150,180,PLN,Warszawa,mazowieckie,,"[""specialist""]","[""full-time""]","[""hybrid work""]","[""GitHub Copilot"", ""ChatGPT"", ""Claude"", ""Llama""]",,"Doświadczenie jako developer/tech lead/trener optymalizacji procesów wytwórczych (5-8 lat)., Praktyczne doświadczenie w pracy z narzędziami AI (GitHub Copilot, ChatGPT, Claude, Llama itd.)., Znajomość realiów pracy IT oraz metodyk wytwarzania oprogramowania w dużych organizacjach finansowych., Umiejętność tłumaczenia złożonych zagadnień prostym, zrozumiałym językiem., Wysokie zdolności komunikacyjne, umiejętność oraz chęć uczenia innych., Znajomość współczesnego ekosystemu AI (LLM, generowanie treści, automatyzacje)., Umiejętność budowy skutecznych promptów i workflowów., Analityczne podejście: umiejętność dostrzegania, gdzie AI wnosi wartość., Otwartość na ciągłą naukę – chęć testowania nowych narzędzi i metod pracy z AI., Doświadczenie w prowadzeniu szkoleń, warsztatów lub szkoleń wewnętrznych (w obszarze IT, digital, data, nowoczesne technologie).",,"dofinansowanie zajęć sportowych, prywatna opieka medyczna, elastyczny czas pracy",2026-02-09T13:26:03.08Z,2026-03-11T22:59:59Z,IT & Digital Tech,programming,
"ai-coach-analyst-branza-ubezpieczeniowa-warszawa,oferta,1004646190","https://www.pracuj.pl/praca/ai-coach-analyst-branza-ubezpieczeniowa-warszawa,oferta,1004646190","IT - Administracja, IT - Rozwój oprogramowania, Administrowanie bazami danych i storage, Administrowanie systemami, Analiza biznesowa i systemowa",Edge One Solutions Sp. z o.o.,AI Coach – Analyst | Branża Ubezpieczeniowa,AI Analyst,"Prowadzenie mentoringu i edukacja zespołów analitycznych oraz developerskich w zakresie praktycznego wykorzystania narzędzi AI w codziennej pracy, Realizacja szkoleń, warsztatów oraz konsultacji indywidualnych dla analityków i Product Ownerów z zakresu efektywnego użycia narzędzi takich jak GitHub Copilot Chat oraz Microsoft 365 Copilot, Wsparcie w doborze odpowiedniego modelu AI do konkretnego przypadku użycia (use case), z uwzględnieniem kontekstu biznesowego, bezpieczeństwa i jakości wyników, Pomoc w budowaniu efektywnych promptów – rozwijanie kompetencji zespołów w zakresie prompt engineering oraz optymalizacji interakcji z modelami generatywnymi, Tworzenie i rozwijanie wewnętrznej bazy dobrych praktyk (best practices) dotyczących wykorzystania AI w organizacji, Monitorowanie trendów i nowości w obszarze AI oraz analiza ich potencjalnego zastosowania w środowisku organizacji, Analiza porównawcza rozwiązań (GitHub Copilot Chat, Microsoft 365 Copilot oraz alternatywy rynkowe) wraz z rekomendacjami opartymi na jakości, kosztach, ryzykach oraz zgodności z politykami organizacyjnymi, Definiowanie oraz pomiar KPI/OKR i ROI związanych z wdrożeniami AI (produktywność, jakość, redukcja kosztów), a także raportowanie wyników do interesariuszy IT, Prowadzenie wdrożeń AI w ramach SDLC: analiza potrzeb, konfiguracja narzędzi, definiowanie standardów użycia, policy & governance oraz skalowanie rozwiązań w organizacji",B2B contract,,,PLN,Warszawa,mazowieckie,,"[""specialist"", ""senior specialist""]","[""full-time""]","[""hybrid work""]","[""GitHub Copilot"", ""ChatGPT"", ""Claude"", ""Llama""]",,"Minimum 5–8 lat doświadczenia w roli Developera, Tech Leada lub Trenera optymalizacji procesów wytwórczych, Praktyczne doświadczenie w pracy z narzędziami AI (GitHub Copilot, ChatGPT, Claude, Llama itd.), Znajomość realiów pracy zespołów IT oraz metodyk wytwarzania oprogramowania (SDLC, Agile, Scrum, DevOps) w dużych organizacjach – szczególnie w sektorze finansowym, Wysoko rozwinięte kompetencje komunikacyjne oraz naturalna skłonność do dzielenia się wiedzą i wspierania innych w rozwoju, Umiejętność tłumaczenia złożonych zagadnień technologicznych w sposób prosty, zrozumiały i dostosowany do odbiorcy, Znajomość współczesnego ekosystemu AI: Large Language Models (LLM), generowanie treści, automatyzacja procesów, integracje i workflowy, Doświadczenie w budowaniu skutecznych promptów oraz projektowaniu workflowów opartych na AI, Analityczne podejście i zdolność identyfikowania obszarów, w których AI realnie zwiększa produktywność, jakość lub redukuje koszty, Otwartość na ciągłą naukę i testowanie nowych narzędzi oraz metod pracy z AI, Doświadczenie w prowadzeniu szkoleń, warsztatów lub inicjatyw edukacyjnych w obszarze IT, digital, data lub nowoczesnych technologii.","To oferujemy, Zyskujesz indywidualne wsparcie Service Delivery Managera, który pomoże Ci zaplanować ścieżkę kariery i zadba o Twój komfort i satysfakcję z pracy w projekcie, Szkolenia, certyfikaty i konferencje - dofinansowujemy lub w pełni pokrywamy koszty rozwoju kompetencji technicznych, SmartChange – umożliwiamy zmianę projektu i dobieramy kolejny zgodnie z Twoimi preferencjami, Dbamy o Twój work-life balance, dlatego poza pracą oferujemy wyjścia integracyjne, aktywności sportowe i inspirujące webinary #edge1talks, które rozwijają i łączą ludzi, Aktywność fizyczna – wspieramy sportowe inicjatywy i wynajem sal treningowych, Pakiet zdrowotny – prywatna opieka, karta sportowa, ubezpieczenie i wsparcie psychologiczne (HearMe), Elastyczne benefity – sam decydujesz, na co przeznaczasz punkty w naszym systemie benefitowym, Bezpłatne lekcje języka angielskiego – dopasowane do Twojego poziomu, idealne do pracy w międzynarodowym środowisku","dofinansowanie zajęć sportowych, prywatna opieka medyczna, ubezpieczenie na życie, elastyczny czas pracy, spotkania integracyjne",2026-02-13T13:29:15.23Z,2026-02-20T22:59:59Z,IT & Digital Tech,programming,
"ai-coach-krakow,oferta,1004640592","https://www.pracuj.pl/praca/ai-coach-krakow,oferta,1004640592","IT - Administracja, IT - Rozwój oprogramowania, Administrowanie systemami, Architektura, Programowanie",Scalo Sp. z o.o.,AI Coach,AI Coach,"projekt dotyczący budowy platformy AI dla branży e-commerce,, projektowanie kompleksowej architektury rozwiązań AI,, tworzenie systemów agentowych,, projektowanie i rozwój architektury RAG oraz systemów opartych na bazach wektorowych,, nadzór nad integracją LLM,, zapewnianie bezpieczeństwa i monitoringu rozwiązań AI,, realny wpływ na kierunek rozwoju platformy,, projektowanie ekosystemów opartych na MCP,, aktywny udział w procesie przekazywania wiedzy z zakresu AI,, 100% praca zdalna,, stawka do 200 zł/h przy B2B w zależności od doświadczenia.",B2B contract,200,200,PLN,Kraków,małopolskie,,"[""expert""]","[""full-time""]","[""remote work""]","[""Java"", ""SQL"", ""Kubernetes""]",,"masz ponad 10 lat doświadczenia w programowaniu oraz minimum 2 lata doświadczenia w obszarze AI,, bardzo dobrze znasz Javę,, pracowałeś z bazami danych SQL,, projektowałeś rozproszone systemy i architektury platformowe,, masz doświadczenie w integracji LLM na poziomie architektury,, pracowałeś z architekturą mikroserwisową i rozwiązaniami chmurowymi,, wspierałeś zespoły w podejmowaniu decyzji technologicznych i podnoszeniu kompetencji w obszarze AI,, znasz architekturę RAG i bazy wektorowe,, pracowałeś z Kubernetes i środowiskami chmurowymi,, swobodnie komunikujesz się w języku angielskim – minimum B2.","To oferujemy, stabilną współpracę i różnorodne projekty (Software, Embedded, Data, Cloud Services),, możliwość rozwoju kompetencji jako Ambasador Scalo - doskonal skille techniczne i presalesowe w społeczności naszych ekspertów, wpływaj na rozwój organizacji, wspieraj innych,, przestrzeń do budowania marki osobistej - twórz wartościowe treści, dziel się wiedzą i doświadczeniem, występuj jako prelegent na wydarzeniach (np. ProMeet),, prywatną opiekę medyczną - Luxmed,, kafeteryjny system benefitów - Motivizer,, dostęp do karty Multisport,, program poleceń pracowniczych z nagrodami,, integracje i wydarzenia firmowe.","dofinansowanie zajęć sportowych, prywatna opieka medyczna, ubezpieczenie na życie, spotkania integracyjne, program rekomendacji pracowników, inicjatywy dobroczynne",2026-02-11T13:00:58.947Z,2026-03-13T22:59:59Z,IT & Digital Tech,"programming, software development","[""English""]"
"ai-coach-warszawa-aleja-armii-ludowej-26,oferta,1004631752","https://www.pracuj.pl/praca/ai-coach-warszawa-aleja-armii-ludowej-26,oferta,1004631752","IT - Administracja, IT - Rozwój oprogramowania, Administrowanie systemami, Analiza biznesowa i systemowa, Zarządzanie projektem/produktem",PEOPLE TRUST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,AI Coach,AI Coach,"Prowadzenie szkoleń, warsztatów oraz konsultacji dla zespołów developerskich., Wsparcie developerów w efektywnym korzystaniu z narzędzi AI (m.in. GitHub Copilot), w tym dobór odpowiednich modeli do konkretnych zadań., Pomoc w budowaniu skutecznych promptów oraz workflowów opartych o AI., Tworzenie i utrzymywanie wewnętrznej bazy dobrych praktyk w zakresie wykorzystania AI w procesie wytwarzania oprogramowania., Analiza porównawcza dostępnych rozwiązań AI (np. GitHub Copilot vs alternatywy) wraz z rekomendacjami uwzględniającymi jakość, koszty, ryzyka oraz zgodność regulacyjną., Definiowanie oraz pomiar KPI/OKR i ROI (produktywność, jakość, koszty), a także raportowanie wyników do interesariuszy IT., Wsparcie i prowadzenie wdrożeń AI w SDLC, obejmujących: analizę potrzeb, konfigurację narzędzi, standardy użycia, polityki (policy & governance) oraz skalowanie rozwiązań.",B2B contract,130,155,PLN,Warszawa,mazowieckie,00-609,"[""senior specialist""]","[""full-time""]","[""hybrid work""]",,,"Minimum 5–8 lat doświadczenia w roli Analityka lub Product Ownera., Praktyczne doświadczenie w pracy z narzędziami AI, w szczególności: GitHub Copilot, M365 Copilot, ChatGPT, Claude, Llama lub podobnymi., Znajomość realiów pracy IT oraz metodyk wytwarzania oprogramowania w dużych organizacjach finansowych., Bardzo dobre zdolności komunikacyjne oraz doświadczenie i chęć uczenia innych., Umiejętność tłumaczenia złożonych zagadnień technicznych w sposób prosty i zrozumiały., Dobra znajomość współczesnego ekosystemu AI (LLM, generowanie treści, automatyzacje)., Umiejętność budowy skutecznych promptów oraz procesów pracy z AI., Doświadczenie w prowadzeniu szkoleń, warsztatów lub szkoleń wewnętrznych (IT, digital, data, nowe technologie).",,,2026-02-06T15:40:07.973Z,2026-03-08T22:59:59Z,IT & Digital Tech,programming,
"ai-data-scientist-warszawa,oferta,1004580505","https://www.pracuj.pl/praca/ai-data-scientist-warszawa,oferta,1004580505","IT-Administration, IT software development, Administration of databases and storage, Administration of systems, Programming",ITDS Polska Sp. z o.o.,AI Data Scientist,Data Scientist,"Analyze data and translate findings into clear, actionable insights, Build analytical solutions and scripts using Python and AI-supported tools, Prepare presentations and reports for non-technical stakeholders, Collaborate closely with international business and scientific teams, Support decision-making through data exploration and visualization, Apply analytical thinking to biologically related problem spaces, Communicate results clearly in English across multiple stakeholder levels",B2B contract,16000,19950,PLN,Warszawa,mazowieckie,,"[""specialist""]","[""full-time""]","[""hybrid work""]","[""Python"", ""AI"", ""PowerPoint""]",,"At least 2–3 years of experience in a data analytics or data science role, A background in biology, life sciences, or a related scientific field, Strong proficiency in Python for data analysis and automation, Experience using AI tools to support analytical or research work, Ability to create clear presentations using PowerPoint, Strong communication skills and confidence working with stakeholders, Experience translating complex analysis into business-friendly insights, High level of independence and a proactive, consulting mindset, Fluency in English for daily collaboration and presentations, Willingness to work in a dynamic, cross-functional environment","What we offer, Stable and long-term cooperation with very good conditions, Enhance your skills and develop your expertise in the financial industry, Work on the most strategic projects available in the market, Define your career roadmap and develop yourself in the best and fastest possible way by delivering strategic projects for different clients of ITDS over several years, Participate in Social Events, training, and work in an international environment, Access to attractive Medical Package, Access to Multisport Program, Access to Pluralsight, Flexible hours","access to +100 projects, access to Pluralsight, sharing the costs of sports activities, private medical care, remote work opportunities, flexible working time, fruits, integration events, corporate gym, saving & investment scheme, no dress code, coffee / tea, drinks, christmas gifts, birthday celebration, sharing the costs of a streaming platform subscription",2026-01-14T09:46:54.83Z,2026-02-13T22:59:59Z,IT & Digital Tech,"programming, testing",
"ai-developer-gdansk-aleja-grunwaldzka-415,oferta,1004643405","https://www.pracuj.pl/praca/ai-developer-gdansk-aleja-grunwaldzka-415,oferta,1004643405","IT software development, Programming",Lufthansa Systems,AI Developer,AI Developer,"Develop software using Python, following design patterns and coding best practices,, Develop and implement high-quality AI models and solutions with evaluation process,, Collaborate with the team to ensure software quality assurance, including conducting unit tests, using version control systems, and following CI/CD practices,, Create documentation for customers, detailing the functionalities and usage of the AI solutions developed, and provide support and guidance as needed., Working in DevOPS culture",employment contract,11000,21000,PLN,Gdańsk,pomorskie,80-309,"[""specialist"", ""senior specialist""]","[""full-time""]","[""full office work"", ""hybrid work""]","[""Python"", ""LLM"", ""FastAPI"", ""REST"", ""CI/CD""]","[""Agentic AI"", ""Kafka"", ""MLOps/LLMOps"", ""Machine Learning"", ""Azure"", ""LangGraph"", ""Java"", ""Spring Boot""]","Minimum 3 years of commercial experience in AI product development using Python., Practical knowledge of design patterns and good practices of coding., Working knowledge of AI delivery processes MLOps, LLMOps., Practical knowledge of software quality assurance., Experience in development RestAPI services., Understanding of Git, Docker, Kubernetes., Very good command of English language., Willingness to work from the office in Gdańsk at least 2 days per week., Scrum or other agile methodologies, working in international environment.","What we offer, An international working environment, atmosphere that stimulates development., Individual career path., Lufthansa Group membership benefits., Flexible working time and place adjusted to employee’s needs. Possibility of starting your workday between 07:00 and 11:00., Support for your passion for sports within the local activity group and co-financing Multisport cards., Private medical care for employees and their family members., Life insurance., Stable employment under an employment contract., Training opportunities and real growth paths., Modern office in Oliwa – great location and comfortable workspace., Atmosphere – small teams, high independence, real impact on the project.","sharing the costs of sports activities, private medical care, life insurance, flexible working time, fruits, corporate products and services at discounted prices, integration events, no dress code, coffee / tea, drinks, parking space for employees, leisure zone, extra social benefits, holiday funds, sharing the costs of holidays for kids, sharing the commuting costs",2026-02-12T13:12:28.52Z,2026-03-14T22:59:59Z,IT & Digital Tech,"programming, testing",
