"keyword"	"group"
".NET"	"Frameworks & Platforms"
".NET 10 SDK"	"Frameworks & Platforms"
".NET 6/8"	"Frameworks & Platforms"
".NET 8"	"Frameworks & Platforms"
".NET 8+"	"Frameworks & Platforms"
".NET 9"	"Frameworks & Platforms"
".NET 9/10"	"Frameworks & Platforms"
".NET API/MVC"	"Frameworks & Platforms"
".NET Core"	"Frameworks & Platforms"
".NET Framework"	"Frameworks & Platforms"
".NET MAUI"	"Frameworks & Platforms"
"`certyfikat TOGAF"	"Other / Unclassified"
"2. Databases and ORM"	"Other / Unclassified"
"21 CFR 11"	"Other / Unclassified"
"3GPP"	"Other / Unclassified"
"3GPP LTE/NR protocols"	"Other / Unclassified"
"5S"	"Other / Unclassified"
"a"	"Other / Unclassified"
"a nie ekspercka znajomoæ wszystkiego"	"Cloud & Managed Services"
"Ab Initio"	"Other / Unclassified"
"ABAP"	"Programming Languages"
"ABAP ADT"	"Other / Unclassified"
"ABAP Objects"	"Other / Unclassified"
"ABAP OO"	"Other / Unclassified"
"ABAP/4"	"Other / Unclassified"
"aby w razie potrzeby"	"Other / Unclassified"
"ACA"	"Other / Unclassified"
"Access"	"Other / Unclassified"
"ACI Field Engineer"	"Other / Unclassified"
"ACL"	"Other / Unclassified"
"Acronis"	"Other / Unclassified"
"Action Center"	"Other / Unclassified"
"Action1"	"Other / Unclassified"
"Active Directory"	"Frameworks & Platforms"
"Active Directory (AD"	"Other / Unclassified"
"Active Directory + GPO"	"Other / Unclassified"
"ActiveCollab"	"Other / Unclassified"
"ActiveMQ"	"Other / Unclassified"
"ADB"	"Other / Unclassified"
"ADLS Gen2"	"Other / Unclassified"
"Adobe"	"Tools & Collaboration"
"Adobe Analytics"	"Other / Unclassified"
"Adobe CC"	"Other / Unclassified"
"Adobe Commerce"	"Other / Unclassified"
"Adobe Creative Suite"	"Other / Unclassified"
"Adobe Experience Manager"	"Other / Unclassified"
"Adobe Experience Manager (AEM"	"Other / Unclassified"
"Adobe Forms"	"Other / Unclassified"
"Adobe Illustrator"	"Other / Unclassified"
"Adobe Illustrator / Photoshop"	"Other / Unclassified"
"Adobe InDesign"	"Other / Unclassified"
"Adobe Lightroom"	"Other / Unclassified"
"Adobe Photoshop"	"Other / Unclassified"
"Adobe Premiere"	"Other / Unclassified"
"Adobe XD"	"Other / Unclassified"
"AdobeForms"	"Other / Unclassified"
"Adonis"	"Other / Unclassified"
"AdTech"	"Other / Unclassified"
"Adyen"	"Other / Unclassified"
"Aeron"	"Other / Unclassified"
"Aerospike"	"Other / Unclassified"
"AES"	"Other / Unclassified"
"Affinity Designer"	"Other / Unclassified"
"Affinity Photo"	"Other / Unclassified"
"AFT (Automated Test Framework)??"	"Other / Unclassified"
"After Effects"	"Other / Unclassified"
"Agentforce"	"Other / Unclassified"
"Agentic AI"	"Other / Unclassified"
"Agentic Architectures"	"Other / Unclassified"
"Agile"	"Methodologies & Concepts"
"Agile (Scrum i SAFe"	"Other / Unclassified"
"Agile Methodology"	"Other / Unclassified"
"Agilê PM"	"Other / Unclassified"
"Agile/Scrum"	"Other / Unclassified"
"AgilePM"	"Other / Unclassified"
"Aglie"	"Other / Unclassified"
"Agno"	"Other / Unclassified"
"Ahrefs"	"Other / Unclassified"
"AI"	"Methodologies & Concepts"
"AI / LLM"	"Other / Unclassified"
"AI Agents"	"Other / Unclassified"
"AI Center"	"Other / Unclassified"
"AI Governance"	"Other / Unclassified"
"AI Search"	"Other / Unclassified"
"AI Solutions"	"Other / Unclassified"
"AI technologies for process automation"	"Other / Unclassified"
"AI tools"	"Other / Unclassified"
"AI/ML"	"Other / Unclassified"
"AI/ML in ERP"	"Other / Unclassified"
"Aircrack-ng"	"Other / Unclassified"
"AirFlow"	"Frameworks & Platforms"
"AirWatch"	"Other / Unclassified"
"AIX"	"Other / Unclassified"
"AJAX"	"Other / Unclassified"
"Akamai"	"Other / Unclassified"
"Akeneo"	"Other / Unclassified"
"Akita"	"Other / Unclassified"
"Akka"	"Frameworks & Platforms"
"AKS"	"Cloud & Managed Services"
"Alerta"	"Other / Unclassified"
"Alfresco"	"Other / Unclassified"
"Algorytmy ML"	"Other / Unclassified"
"Algorytmy uczenia maszynowego"	"Other / Unclassified"
"Alibaba"	"Other / Unclassified"
"Alibaba Cloud"	"Cloud & Managed Services"
"AlloyDB"	"Other / Unclassified"
"Allure"	"Other / Unclassified"
"Allure TestOps"	"Other / Unclassified"
"ALM Toolkit"	"Other / Unclassified"
"Altium Designer"	"Other / Unclassified"
"ALV"	"Other / Unclassified"
"Always On"	"Other / Unclassified"
"Amazon Aurora"	"Other / Unclassified"
"Amazon Bedrock"	"Other / Unclassified"
"Amazon SageMaker"	"Other / Unclassified"
"Amazon Web Services"	"Cloud & Managed Services"
"Amazon Web Services (AWS"	"Cloud & Managed Services"
"Amazon Web Services or Microsoft Azure"	"Cloud & Managed Services"
"Amazon)"	"Other / Unclassified"
"AML"	"Other / Unclassified"
"AML / compliance domain"	"Other / Unclassified"
"AML/KYC"	"Other / Unclassified"
"Amplitude"	"Other / Unclassified"
"AMQP"	"Other / Unclassified"
"AMS"	"Other / Unclassified"
"Analiza biznesowa"	"Other / Unclassified"
"analiza systemowa"	"Other / Unclassified"
"Analog and RF measurement"	"Other / Unclassified"
"Analysis"	"Other / Unclassified"
"Analytics"	"Databases & Data Stores"
"Anaplan"	"Other / Unclassified"
"Android"	"Frameworks & Platforms"
"Android Auto"	"Frameworks & Platforms"
"Android Automotive OS"	"Frameworks & Platforms"
"Android Debug"	"Frameworks & Platforms"
"Android Emulator"	"Frameworks & Platforms"
"Android Jetpack"	"Frameworks & Platforms"
"Android Open Source Project"	"Frameworks & Platforms"
"Android SDK"	"Frameworks & Platforms"
"Android SDK Jetpack"	"Frameworks & Platforms"
"Android Studio"	"Frameworks & Platforms"
"Android Views"	"Frameworks & Platforms"
"Angielski"	"Other / Unclassified"
"Angular"	"Frameworks & Platforms"
"Angular 15"	"Frameworks & Platforms"
"Angular 8+"	"Frameworks & Platforms"
"Angular CDK"	"Frameworks & Platforms"
"Angular Material"	"Frameworks & Platforms"
"Angular.js"	"Frameworks & Platforms"
"AngularJS"	"Frameworks & Platforms"
"Anchore"	"Other / Unclassified"
"Ansible"	"Tools & Collaboration"
"Ansible Automation Platform"	"Tools & Collaboration"
"Ansible Automation Platform (AAP"	"Tools & Collaboration"
"Ant"	"Other / Unclassified"
"Ant Design"	"Other / Unclassified"
"Anthos"	"Other / Unclassified"
"AnyDesk"	"Other / Unclassified"
"AOSP"	"Other / Unclassified"
"AP S 4/Hana FI"	"Other / Unclassified"
"Apache"	"Tools & Collaboration"
"Apache ActiveMQ"	"Tools & Collaboration"
"Apache Airflow"	"Frameworks & Platforms"
"Apache Beam"	"Tools & Collaboration"
"Apache Camel"	"Tools & Collaboration"
"Apache Commons"	"Tools & Collaboration"
"Apache ECharts"	"Tools & Collaboration"
"Apache Flink"	"Tools & Collaboration"
"Apache Hadoop"	"Frameworks & Platforms"
"Apache Hadoop ecosystem"	"Frameworks & Platforms"
"Apache Iceberg"	"Tools & Collaboration"
"Apache Ignite"	"Tools & Collaboration"
"Apache JMeter"	"Tools & Collaboration"
"Apache Kafka"	"Tools & Collaboration"
"Apache Kafka i"	"Tools & Collaboration"
"Apache Maven"	"Tools & Collaboration"
"Apache NiFi"	"Tools & Collaboration"
"Apache PULSAR"	"Tools & Collaboration"
"Apache Sling"	"Tools & Collaboration"
"Apache Spark"	"Frameworks & Platforms"
"Apache Spark (PySpark"	"Frameworks & Platforms"
"Apache Spark on Azure Databricks"	"Cloud & Managed Services"
"Apache Superset"	"Tools & Collaboration"
"Apache Tomcat"	"Tools & Collaboration"
"Apache Web Server"	"Tools & Collaboration"
"APEX"	"Programming Languages"
"API"	"Methodologies & Concepts"
"API (REST/SOAP"	"Other / Unclassified"
"API connector security"	"Other / Unclassified"
"API Gateway"	"Other / Unclassified"
"API Management"	"Other / Unclassified"
"API Platform"	"Other / Unclassified"
"API REST"	"Other / Unclassified"
"API test automation"	"Other / Unclassified"
"API testing"	"Other / Unclassified"
"Apigee"	"Other / Unclassified"
"ApigeeX"	"Other / Unclassified"
"APIs"	"Other / Unclassified"
"Aplikacje Web"	"Other / Unclassified"
"aplikacje webowe"	"Other / Unclassified"
"APM"	"Other / Unclassified"
"APO"	"Other / Unclassified"
"APO PP/DS"	"Other / Unclassified"
"Apollo"	"Other / Unclassified"
"App Center"	"Other / Unclassified"
"App Store Connect"	"Other / Unclassified"
"App-V"	"Other / Unclassified"
"AppDynamics"	"Other / Unclassified"
"Appian"	"Other / Unclassified"
"Appium"	"Other / Unclassified"
"AppKit"	"Other / Unclassified"
"Application Gateway"	"Other / Unclassified"
"Application Insights"	"Other / Unclassified"
"Application inventory"	"Other / Unclassified"
"Application Security"	"Other / Unclassified"
"AppSync"	"Other / Unclassified"
"AppSync GraphQL"	"Libraries"
"Apptio"	"Other / Unclassified"
"AQL"	"Other / Unclassified"
"ArcGIS"	"Other / Unclassified"
"ArcGIS Pro"	"Other / Unclassified"
"ArcGIS Server"	"Other / Unclassified"
"ArcPy"	"Other / Unclassified"
"Argo"	"Other / Unclassified"
"Argo CD"	"Other / Unclassified"
"ArgoCD"	"Other / Unclassified"
"ArchiMate"	"Other / Unclassified"
"Architecture"	"Other / Unclassified"
"Architektura IT"	"Other / Unclassified"
"architektura mikroserwisowa"	"Other / Unclassified"
"Architektura MVC"	"Other / Unclassified"
"Architektura pluginowa"	"Other / Unclassified"
"Architektura sieci komórkowych"	"Other / Unclassified"
"Ariba"	"Other / Unclassified"
"Aris"	"Other / Unclassified"
"Aris Architect"	"Other / Unclassified"
"Arista Networking"	"Other / Unclassified"
"ARM"	"Other / Unclassified"
"ARM/Bicep"	"Other / Unclassified"
"Artifactory"	"Other / Unclassified"
"Artifactory Xray"	"Other / Unclassified"
"Aruba"	"Other / Unclassified"
"Aruba WIF"	"Other / Unclassified"
"Arvo"	"Other / Unclassified"
"AS400"	"Other / Unclassified"
"Asana"	"Other / Unclassified"
"ASP.NET"	"Frameworks & Platforms"
"ASP.NET Core"	"Frameworks & Platforms"
"ASP.NET Core MVC"	"Frameworks & Platforms"
"ASP.NET Core Web API"	"Frameworks & Platforms"
"ASP.NET Core/MVC"	"Frameworks & Platforms"
"ASP.NET MVC"	"Frameworks & Platforms"
"ASP.NET Web API"	"Frameworks & Platforms"
"ASP.NET Web Forms"	"Frameworks & Platforms"
"Assembla"	"Other / Unclassified"
"Assembly"	"Other / Unclassified"
"AssertJ"	"Other / Unclassified"
"AsyncAPI"	"Other / Unclassified"
"Asynchronicity"	"Other / Unclassified"
"Athena"	"Cloud & Managed Services"
"Atlas"	"Other / Unclassified"
"Atlassian"	"Other / Unclassified"
"Atlassian Confluence"	"Tools & Collaboration"
"Atlassian JIRA"	"Tools & Collaboration"
"Atlassian stack"	"Other / Unclassified"
"Attention t"	"Other / Unclassified"
"Attention to"	"Other / Unclassified"
"Audio"	"Other / Unclassified"
"Audit-ready documentation"	"Other / Unclassified"
"Audyt"	"Other / Unclassified"
"audyt bezpieczeñstwa"	"Other / Unclassified"
"Aurora"	"Other / Unclassified"
"Auth0"	"Other / Unclassified"
"authentication systems"	"Other / Unclassified"
"Autocad"	"Other / Unclassified"
"AutoGen"	"Other / Unclassified"
"Automate Now"	"Other / Unclassified"
"Automated tests"	"Other / Unclassified"
"Automaten"	"Other / Unclassified"
"AutomatenNow"	"Other / Unclassified"
"AutomateNow"	"Other / Unclassified"
"Automation Anywhere"	"Other / Unclassified"
"Automatyzacja testów (testy jednostkowe"	"Other / Unclassified"
"Automic"	"Other / Unclassified"
"automotive"	"Other / Unclassified"
"AUTOSAR"	"Other / Unclassified"
"Autosys"	"Other / Unclassified"
"Autotools"	"Other / Unclassified"
"AV"	"Other / Unclassified"
"Avalog"	"Other / Unclassified"
"Avalonia"	"Other / Unclassified"
"Avamar"	"Other / Unclassified"
"Avaya"	"Other / Unclassified"
"Aviation"	"Other / Unclassified"
"AVRO"	"Other / Unclassified"
"AWC"	"Other / Unclassified"
"AWR"	"Other / Unclassified"
"AWS"	"Cloud & Managed Services"
"AWS (S3"	"Cloud & Managed Services"
"AWS API Gateway"	"Cloud & Managed Services"
"AWS CDK"	"Cloud & Managed Services"
"AWS EC2"	"Cloud & Managed Services"
"AWS EKS"	"Cloud & Managed Services"
"AWS IAM"	"Cloud & Managed Services"
"AWS Lambda"	"Cloud & Managed Services"
"AWS MQ"	"Cloud & Managed Services"
"AWS SageMaker"	"Cloud & Managed Services"
"AWS Security Tools"	"Cloud & Managed Services"
"AWS Serverless"	"Cloud & Managed Services"
"AWS Step Functions"	"Cloud & Managed Services"
"AWS: Lambda"	"Cloud & Managed Services"
"AWS/Azure"	"Cloud & Managed Services"
"AWS/Azure/GCP"	"Cloud & Managed Services"
"AWT"	"Other / Unclassified"
"Axence"	"Other / Unclassified"
"Axure"	"Other / Unclassified"
"AZ-104"	"Other / Unclassified"
"AZ-305"	"Other / Unclassified"
"AZ-400"	"Other / Unclassified"
"AZ-700"	"Other / Unclassified"
"Azure"	"Cloud & Managed Services"
"Azure - Identity & Access Management"	"Cloud & Managed Services"
"Azure Active Directory"	"Cloud & Managed Services"
"Azure AD"	"Cloud & Managed Services"
"Azure AD / Microsoft Entra ID"	"Cloud & Managed Services"
"Azure AD B2C"	"Cloud & Managed Services"
"Azure ADF"	"Cloud & Managed Services"
"Azure AI Foundry"	"Cloud & Managed Services"
"Azure AI Search"	"Cloud & Managed Services"
"Azure API Management"	"Cloud & Managed Services"
"Azure Backup"	"Cloud & Managed Services"
"Azure Backups"	"Cloud & Managed Services"
"Azure Bicep"	"Cloud & Managed Services"
"Azure Blob Storage"	"Cloud & Managed Services"
"Azure CLI"	"Cloud & Managed Services"
"Azure Cloud"	"Cloud & Managed Services"
"Azure Container Apps"	"Cloud & Managed Services"
"Azure Cosmos DB"	"Databases & Data Stores"
"Azure Data"	"Cloud & Managed Services"
"Azure Data Explorer"	"Cloud & Managed Services"
"Azure Data Factory"	"Cloud & Managed Services"
"Azure Data Lake"	"Cloud & Managed Services"
"Azure Data Stack"	"Cloud & Managed Services"
"Azure Databricks"	"Cloud & Managed Services"
"Azure Databricks Service"	"Cloud & Managed Services"
"Azure DevOps"	"Cloud & Managed Services"
"Azure DevOps and fully automated CI/CD pipelines with Databricks Asset Bundles"	"Cloud & Managed Services"
"Azure DevOps Test Plans"	"Cloud & Managed Services"
"Azure DWH"	"Cloud & Managed Services"
"Azure Entra ID"	"Cloud & Managed Services"
"Azure Event Hub"	"Cloud & Managed Services"
"Azure Event Hubs"	"Cloud & Managed Services"
"Azure Fabric"	"Cloud & Managed Services"
"Azure Firewall"	"Cloud & Managed Services"
"Azure Function"	"Cloud & Managed Services"
"Azure Functions"	"Cloud & Managed Services"
"Azure IaaS"	"Cloud & Managed Services"
"Azure IoT Hub"	"Cloud & Managed Services"
"Azure Kubernetes Service"	"Cloud & Managed Services"
"Azure Lighthouse"	"Cloud & Managed Services"
"Azure Logic Apps"	"Cloud & Managed Services"
"Azure Machine Learning"	"Cloud & Managed Services"
"Azure Machine Learning Studio"	"Cloud & Managed Services"
"Azure ML"	"Cloud & Managed Services"
"Azure Monitor"	"Cloud & Managed Services"
"Azure OpenAI"	"Cloud & Managed Services"
"Azure PaaS"	"Cloud & Managed Services"
"Azure Pipelines"	"Cloud & Managed Services"
"Azure Platform"	"Cloud & Managed Services"
"Azure Portal"	"Cloud & Managed Services"
"Azure Purview"	"Cloud & Managed Services"
"Azure Service Bus"	"Cloud & Managed Services"
"Azure Site Recovery"	"Cloud & Managed Services"
"Azure Speech Services"	"Cloud & Managed Services"
